
Array generated
10649 CSE
10344 JET
22627 TCU
24235 YAW
2515 UOM
2535 NED
27053 OIS
11562 GZM
14696 BFZ
26999 DXF

29874 HIE
2627 NPG
17898 NWU
25082 CZK
19108 JLA
30327 JID
10280 VSC
32143 LCO
28659 NRX
10631 UEM

21556 UEE
17817 ZZK
11345 GSY
8820 KQQ
18784 ZKU
21177 LOR
6830 ABN
14206 XZK
8763 DRT
23759 CSJ

14652 AVU
9768 UDE
9368 XNW
19196 DCS
31084 AGR
9009 PBV
20871 FOU
17313 VLH
20462 CEO
27291 BVC

30041 MBS
15456 JSV
17587 JSR
20390 OWJ
14238 HGY
2585 SQH
750 KRO
19669 GCS
11049 OJV
28909 RIL

26894 PYO
5095 TYN
24074 NXW
13374 DBD
6340 KVN
7647 OUI
27027 BAB
9900 NEN
1794 EZL
15100 HOK

595 LTZ
14872 EAQ
3065 GLX
8896 YDV
2076 TQC
4004 CSR
29465 WHL
1003 ZWP
5631 WJC
1968 ECB

2836 QPX
5248 TZH
4686 DFD
20957 SHV
13786 LIV
8638 MXZ
16024 NOA
32013 DNZ
30877 TPL
8232 ZHP

18352 HXR
1888 PGM
3021 PKU
15229 IKH
21926 OFI
28215 RRT
27420 LYC
26302 ZSZ
7114 GYR
15924 XNQ

25979 JEJ
27694 CIC
26799 IEI
9015 SYS
11546 FYF
32077 OVF
13861 DPA
30817 EGE
26475 JEW
17115 ELI


Array sorted by Intersort
595 LTZ
750 KRO
1003 ZWP
1794 EZL
1888 PGM
1968 ECB
2076 TQC
2515 UOM
2535 NED
2585 SQH

2627 NPG
2836 QPX
3021 PKU
3065 GLX
4004 CSR
4686 DFD
5095 TYN
5248 TZH
5631 WJC
6340 KVN

6830 ABN
7114 GYR
7647 OUI
8232 ZHP
8638 MXZ
8763 DRT
8820 KQQ
8896 YDV
9009 PBV
9015 SYS

9368 XNW
9768 UDE
9900 NEN
10280 VSC
10344 JET
10631 UEM
10649 CSE
11049 OJV
11345 GSY
11546 FYF

11562 GZM
13374 DBD
13786 LIV
13861 DPA
14206 XZK
14238 HGY
14652 AVU
14696 BFZ
14872 EAQ
15100 HOK

15229 IKH
15456 JSV
15924 XNQ
16024 NOA
17115 ELI
17313 VLH
17587 JSR
17817 ZZK
17898 NWU
18352 HXR

18784 ZKU
19108 JLA
19196 DCS
19669 GCS
20390 OWJ
20462 CEO
20871 FOU
20957 SHV
21177 LOR
21556 UEE

21926 OFI
22627 TCU
23759 CSJ
24074 NXW
24235 YAW
25082 CZK
25979 JEJ
26302 ZSZ
26475 JEW
26799 IEI

26894 PYO
26999 DXF
27027 BAB
27053 OIS
27291 BVC
27420 LYC
27694 CIC
28215 RRT
28659 NRX
28909 RIL

29465 WHL
29874 HIE
30041 MBS
30327 JID
30817 EGE
30877 TPL
31084 AGR
32013 DNZ
32077 OVF
32143 LCO


Time to sort array of 100 elements by Intersort: 0.00059
2513 compares; 2711 moves 

Array sorted by HeapSort
595 LTZ
750 KRO
1003 ZWP
1794 EZL
1888 PGM
1968 ECB
2076 TQC
2515 UOM
2535 NED
2585 SQH

2627 NPG
2836 QPX
3021 PKU
3065 GLX
4004 CSR
4686 DFD
5095 TYN
5248 TZH
5631 WJC
6340 KVN

6830 ABN
7114 GYR
7647 OUI
8232 ZHP
8638 MXZ
8763 DRT
8820 KQQ
8896 YDV
9009 PBV
9015 SYS

9368 XNW
9768 UDE
9900 NEN
10280 VSC
10344 JET
10631 UEM
10649 CSE
11049 OJV
11345 GSY
11546 FYF

11562 GZM
13374 DBD
13786 LIV
13861 DPA
14206 XZK
14238 HGY
14652 AVU
14696 BFZ
14872 EAQ
15100 HOK

15229 IKH
15456 JSV
15924 XNQ
16024 NOA
17115 ELI
17313 VLH
17587 JSR
17817 ZZK
17898 NWU
18352 HXR

18784 ZKU
19108 JLA
19196 DCS
19669 GCS
20390 OWJ
20462 CEO
20871 FOU
20957 SHV
21177 LOR
21556 UEE

21926 OFI
22627 TCU
23759 CSJ
24074 NXW
24235 YAW
25082 CZK
25979 JEJ
26302 ZSZ
26475 JEW
26799 IEI

26894 PYO
26999 DXF
27027 BAB
27053 OIS
27291 BVC
27420 LYC
27694 CIC
28215 RRT
28659 NRX
28909 RIL

29465 WHL
29874 HIE
30041 MBS
30327 JID
30817 EGE
30877 TPL
31084 AGR
32013 DNZ
32077 OVF
32143 LCO


Time to sort array of 100 elements by HeapSort: 0.00026
1525 compares; 1731 moves 
